[2025-01-17 11:59:42,544] 16 root - INFO - Initate the data ingestion
[2025-01-17 11:59:48,075] 59 root - INFO - Performed train test split as dataframe
[2025-01-17 11:59:48,075] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-17 11:59:48,075] 63 root - INFO - Exporting train and test file path
[2025-01-17 11:59:48,258] 68 root - INFO - Exporting  train and test file path
[2025-01-17 11:59:48,258] 19 root - INFO - Data initiation completed
[2025-01-17 11:59:48,276] 22 root - INFO - Initate the data validation
[2025-01-17 11:59:48,330] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 11:59:48,330] 33 root - INFO - Data frame has columns: 50
[2025-01-17 11:59:48,330] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 11:59:48,330] 33 root - INFO - Data frame has columns: 50
[2025-01-17 11:59:48,597] 24 root - INFO - data validation is completed
[2025-01-17 11:59:48,597] 27 root - INFO - data transformation started
[2025-01-17 11:59:48,597] 56 root - INFO - Entered initate_data_transformation method of Datatransformation class
[2025-01-17 11:59:48,597] 58 root - INFO - Starting data transforamtion
[2025-01-17 11:59:48,639] 44 root - INFO - Entered get_data_transformer object method of transformation class
[2025-01-17 11:59:48,639] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 11:59:48,652] 45 root - INFO - Entered save_object method of mainutils class
[2025-01-17 11:59:48,652] 49 root - INFO - Exited the save_object method of mainutils class
[2025-01-17 11:59:48,664] 31 root - INFO - data transformation Completed
[2025-01-17 11:59:48,664] 32 root - INFO - model Training Started
